Samples	SBS1	SBS2	SBS5	SBS13	SBS32	SBS35	SBS37	SBS40	SBS46	SBS54
KiCS0002_321321	1	0	80	0	0	105	0	149	0	0
KiCS0003_20_15220_A_02_00	21	0	306	0	0	0	0	0	0	0
KiCS0003_285201	13	0	119	0	0	0	0	0	0	0
KiCS0003_285202	10	0	142	0	0	0	0	0	0	0
KiCS0005_300238	16	0	61	0	0	0	0	0	0	0
KiCS0005_4677	15	0	107	0	0	0	0	0	0	0
KiCS0006_274243	14	0	95	0	0	0	0	0	0	0
KiCS0007_302948	78	0	1724	0	0	0	491	0	0	0
KiCS0008_289185	29	0	754	0	0	171	0	0	0	0
KiCS0010_270645	2	0	38	0	0	0	0	232	0	0
KiCS0010_270646	4	0	45	0	0	0	0	0	27	0
KiCS0010_270647	33	0	2426	0	0	0	767	0	0	0
KiCS0011_19_24259_A_02_00	4	0	90	0	0	0	0	0	0	0
KiCS0011_270648	5	0	0	0	0	0	0	56	0	0
KiCS0013_319375	4	0	89	0	0	0	0	0	0	0
KiCS0015_18_7567	3	0	134	0	0	0	0	0	0	0
KiCS0015_283113	16	0	150	0	0	0	0	0	0	0
KiCS0015_288017	18	0	102	0	0	0	0	0	0	0
KiCS0015_316119	1	0	129	0	0	0	0	0	0	0
KiCS0016_270650	13	0	134	0	0	64	0	0	0	0
KiCS0017_270651	8	0	98	0	0	0	0	0	0	0
KiCS0017_271603	3	0	60	0	0	0	0	0	0	0
KiCS0018_270652	4	0	261	0	0	0	0	0	0	0
KiCS0024_272790	12	0	95	0	0	0	0	0	0	0
KiCS0025_272791	10	0	350	0	0	0	0	0	0	0
KiCS0025_307284	3	0	196	0	0	0	0	0	0	0
KiCS0029_274194	7	0	568	46	0	0	0	0	0	0
KiCS0030_273368	8	0	165	0	0	0	0	0	0	0
KiCS0031_283112	13	0	203	0	0	0	0	0	0	0
KiCS0033_319631	10	0	91	0	0	0	0	0	0	0
